,Type 0,Type 1,Type 2,Type 3,Type 4
Enemy 347,0.1963595,0.03110106,0.097398706,0.2718551,0.40328562
Enemy 348,0.38920596,0.1755242,0.32084605,0.048170544,0.06625333
Enemy 349,0.19697143,0.031037074,0.09727961,0.27148736,0.4032245
Enemy 350,0.3769533,0.17869058,0.3253194,0.050502285,0.06853451
Enemy 351,0.5275849,0.010544407,0.046144966,0.12226671,0.29345903
Enemy 352,0.34368294,0.09788448,0.22929902,0.13632102,0.1928125
Enemy 353,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 354,0.37505847,0.18666176,0.33174574,0.045300934,0.061233137
Enemy 355,0.5275849,0.010544407,0.046144966,0.12226671,0.29345903
Enemy 356,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 357,0.52428275,0.010672991,0.046568964,0.123447254,0.29502803
Enemy 358,0.1963595,0.03110106,0.097398706,0.2718551,0.40328562
Enemy 359,0.19635978,0.03110103,0.09739864,0.2718549,0.40328562
Enemy 360,0.22214013,0.038611446,0.11548385,0.25230145,0.37146315
Enemy 361,0.37604138,0.18288228,0.32876062,0.047708023,0.06460777
Enemy 362,0.37491897,0.18716604,0.33213517,0.044986594,0.060793243
Enemy 363,0.24768472,0.43267226,0.20197925,0.04700584,0.07065794
Enemy 364,0.19635956,0.03110106,0.097398676,0.27185506,0.40328562
Enemy 365,0.2907887,0.06496162,0.17160673,0.19350114,0.27914184
Enemy 366,0.37798208,0.1719861,0.31952724,0.055261593,0.07524295
Enemy 367,0.3749118,0.18717481,0.33213374,0.04498654,0.060793106
Enemy 368,0.52342075,0.010706713,0.046679877,0.12375617,0.2954365
Enemy 369,0.5262837,0.010594964,0.046311893,0.12273137,0.29407808
Enemy 370,0.5275633,0.010545246,0.04614775,0.12227443,0.29346934
Enemy 371,0.527623,0.0105460705,0.04615033,0.12225408,0.29342654
Enemy 372,0.3809825,0.15925969,0.30726194,0.06424634,0.08824966
Enemy 373,0.37536654,0.1855406,0.33087158,0.046003688,0.062217675
Enemy 374,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 375,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 376,0.4573995,0.013493948,0.055450264,0.14836755,0.32528877
Enemy 377,0.24768461,0.43267247,0.20197915,0.047005832,0.07065793
Enemy 378,0.20189762,0.032630604,0.101172715,0.2677517,0.39654735
Enemy 379,0.4856893,0.01224823,0.05162394,0.13758585,0.31285265
Enemy 380,0.3783405,0.16795446,0.315869,0.058298636,0.07953737
Enemy 381,0.24768461,0.43267247,0.20197915,0.047005832,0.07065793
Enemy 382,0.37373844,0.13747929,0.28375745,0.08595332,0.11907154
Enemy 383,0.77359563,0.04685901,0.1198644,0.018756837,0.04092412
Enemy 384,0.46141988,0.013311892,0.05490001,0.14681278,0.3235554
Enemy 385,0.19648202,0.031088246,0.09737486,0.27178144,0.4032735
Enemy 386,0.1963595,0.03110106,0.097398706,0.2718551,0.40328562
Enemy 387,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 388,0.19636647,0.031100342,0.09739736,0.2718509,0.40328497
Enemy 389,0.37589735,0.1834747,0.3292358,0.047323674,0.064068444
Enemy 390,0.24768683,0.43266815,0.2019812,0.047005918,0.07065796
Enemy 391,0.19647272,0.031131892,0.09747526,0.2717717,0.40314835
Enemy 392,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 393,0.1963595,0.03110106,0.097398706,0.2718551,0.40328562
Enemy 394,0.1963595,0.03110106,0.097398706,0.2718551,0.40328562
Enemy 395,0.3749143,0.1871701,0.3321367,0.044986323,0.06079263
Enemy 396,0.24225093,0.026765501,0.08884598,0.24574797,0.39638963
Enemy 397,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 398,0.3749151,0.18716854,0.33213767,0.044986248,0.060792487
Enemy 399,0.19635963,0.03110105,0.097398676,0.27185503,0.40328562
Enemy 400,0.19635956,0.03110106,0.097398706,0.2718551,0.40328562
