,Type 0,Type 1,Type 2,Type 3,Type 4
Enemy 350,0.38839936,0.18535966,0.31071195,0.039831094,0.07569793
Enemy 351,0.24161494,0.045678504,0.15464601,0.36540452,0.19265604
Enemy 352,0.38327187,0.11971378,0.19902195,0.10327319,0.19471918
Enemy 353,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 354,0.39185077,0.17429055,0.29875386,0.044915125,0.09018972
Enemy 355,0.24163866,0.04567384,0.15451662,0.3656457,0.1925252
Enemy 356,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 357,0.2426659,0.045432504,0.066640794,0.26665145,0.37860927
Enemy 358,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 359,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 360,0.31847167,0.07294679,0.14759289,0.11428322,0.34670547
Enemy 361,0.38718334,0.18806025,0.31381127,0.038533892,0.07241127
Enemy 362,0.38117284,0.19962814,0.3259677,0.03352444,0.059706923
Enemy 363,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 364,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 365,0.3467413,0.089108,0.16864175,0.110478334,0.28503057
Enemy 366,0.3929479,0.14859208,0.26729244,0.05860081,0.13256669
Enemy 367,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 368,0.24266575,0.045432504,0.066640966,0.26665077,0.37861
Enemy 369,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 370,0.24516755,0.04594561,0.07339776,0.278349,0.35714003
Enemy 371,0.29680425,0.06648303,0.30854443,0.1420399,0.18612842
Enemy 372,0.38676226,0.13058932,0.2429524,0.069307484,0.17038852
Enemy 373,0.38842198,0.1848974,0.31060624,0.039882924,0.07619152
Enemy 374,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 375,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 376,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 377,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 378,0.31078228,0.06921311,0.1457188,0.10935423,0.36493152
Enemy 379,0.24266568,0.045432497,0.066641025,0.2666505,0.37861022
Enemy 380,0.39387628,0.15827042,0.2794038,0.05331109,0.11513839
Enemy 381,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 382,0.36617416,0.10472503,0.2046865,0.08588887,0.2385255
Enemy 383,0.39352593,0.15279377,0.2727015,0.056226525,0.124752305
Enemy 384,0.24262905,0.04543203,0.06667492,0.26650557,0.37875846
Enemy 385,0.24212548,0.045424867,0.06713832,0.2645304,0.38078097
Enemy 386,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 387,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 388,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 389,0.3935352,0.1528865,0.27281967,0.056174695,0.124584
Enemy 390,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 391,0.3085439,0.06812426,0.14187124,0.11321748,0.36824307
Enemy 392,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 393,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 394,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 395,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 396,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 397,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 398,0.38115272,0.19966264,0.32600218,0.03351041,0.05967205
Enemy 399,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
Enemy 400,0.24266595,0.045432504,0.066640794,0.2666515,0.37860927
